index,oh_label,Date,Text
0,1,20120618192155Z,"""You fuck your dad."""
1,0,20120528192215Z,"""i really don't understand your point.\xa0 It seems that you are mixing apples and oranges."""
2,0,,"""A\\xc2\\xa0majority of Canadians can and has been wrong before now and will be again.\\n\\nUnless you're supportive of the idea that nothing is full proof or perfect so you take your chances and if we should inadvertently kill your son or daughter then them's the breaks and we can always regard you as collateral damage like in wartime - and sorry, but\\xc2\\xa0the cheques in the mail. """
3,0,,"""listen if you dont wanna get married to a man or a women DONT DO IT. what would it bother you if gay people got married stay in your lane do you let them do them. And your god is so nice but quick to judg if your not like him, thought you wasnt suppose to judge people."""
4,0,20120619094753Z,"""C\xe1c b\u1ea1n xu\u1ed1ng \u0111\u01b0\u1eddng bi\u1ec3u t\xecnh 2011 c\xf3 \xf4n ho\xe0 kh\xf4ng ? \nC\xe1c ng\u01b0 d\xe2n ng\u1ed3i cu\xed \u0111\u1ea7u chi\u1ee5 nh\u1ee5c c\xf3 \xf4n ho\xe0 kh\xf4ng ?\nC\xe1c n\xf4ng d\xe2n gi\u1eef \u0111\u1ea5t \u1edf V\u0103n Giang, C\u1ea7n Th\u01a1 c\xf3 \xf4n ho\xe0 kh\xf4ng ?\n.................\nR\u1ed1t cu\u1ed9c \u0111\u01b0\u1ee3c g\xec\xa0 th\xec ch\xfang ta \u0111\xe3 bi\u1ebft !\nAi c\u0169ng y\xeau chu\u1ed9ng ho\xe0 b\xecnh, nh\u01b0ng \u0111\xf4i khi ho\xe0 b\xecnh ch\u1ec9 th\u1eadt s\u1ef1 \u0111\u1ebfn sau chi\u1ebfn tranh m\xe0 th\xf4i.\nKh\xf4ng c\xf2n con \u0111\u01b0\u1eddng n\xe0o ch\u1ecdn kh\xe1c \u0111\xe2u, \u0111\u1eebng m\u01a1 th\xeam n\u01b0\xe3."""
5,0,20120620171226Z,"""@SDL OK, but I would hope they'd sign him to a one-year contract to start with. Give him the chance to be reliable and productive, but give themselves the out if all his time off has hurt his playing skills or if he falls back into old habits."""
6,0,20120503012628Z,"""Yeah and where are you now?"""
7,1,,"""shut the fuck up. you and the rest of your faggot friends should be burned at the stake"""
8,1,20120502173553Z,"""Either you are fake or extremely stupid...maybe both..."""
9,1,20120620160512Z,"""That you are an idiot who understands neither taxation nor women's health."""
10,0,20120620015140Z,"""@jdstorm dont wish him injury but it happened on its OWN and i DOUBT he's injured, he looked embarrassed to me"""
11,0,20120530044519Z,"""Be careful,Jimbo.OG has a fork with your name on it."""
12,0,,"""@tonnyb  Or they just don't pay attention """
13,0,,"""Hmmm. Perhaps some who are too pig-faced to get laid and therefore have zero chance of getting pregnant from such activity hold something against women who can?? IDK. Stream of consciousnees thought after looking at her. """
14,0,,"""@barrettmarson Huh? Her income was $21,912. Her spending was $5,470. My math puts that at 24.9%."""
15,1,20120611090207Z,"""FOR SOME REASON U SOUND RETARDED. LOL. DAMN. WHERE U BEEN NEGRO"""
16,1,20120320162532Z,"""You with the 'racist' screen name\n\nYou are a PieceOfShit.........."""
17,0,,"""Oh! & cheating as well...1966 cup was a cheat fest, & you still dare to post that comment..shame on you lol"""
18,1,20120320075347Z,"""your such a dickhead..."""
19,1,20120320203947Z,"""Your a retard go post your head up your #%&*"""
20,0,20120612051612Z,"""@EephusBlue\xa0Makes you want to say ""Mike MacWHOgal?"""""
21,0,20120611234235Z,"""http://www.youtube.com/watch?v=tLYLLPHKRU4"""
22,0,20120502215304Z,"""And you know they've burned holes in all the carpeting."""
23,0,20120503031721Z,"""you are a land creature. You would drown...."""
24,0,,"""To all those doom-and-gloomers, the chicken-littles who claim the sky is falling and that society is collapsing...Canada has had gay marriage nationwide for years. Where is the disaster? Where is the collapse and the persecution you're shouting about? Where is it? Please, show us some examples because it's starting to look like your threats and fears and warnings are nothing but HOT AIR."""
25,0,20120612144331Z,"""Craig, we have been saying from the start that this is a very entertaining show.\xa0 It awakens the horny little Goth in me.\xa0 I met my boyfriend during the first season and one of the first thing we did was watch AHS at my house.\xa0 I know he likes me and all but to this day he is sure I am far creepier and kinkier than he could ever be.\xa0 Thanks, American Horror Story.\xa0 Sweet Clam loves you."""
26,0,20120529025329Z,"""Strange you are talking about that when there were Chelsea fans in here belittling the Community Shield"""
27,0,20120612052926Z,"""But how would you actually get the key out?"""
28,0,20120528193950Z,"""oh cool, some more internet points for your collection!"""
29,0,20120529230121Z,"""Even though I think there are better coaches out there, I am glad Del Negro is keeping his job.  I never thought he got enough credit those years when he took those average Chicago Bulls teams he coached to the playoffs 2 years in a row"""
30,0,20120611201838Z,"""russellpiano\xa0\nHmmmm...how can we spin Obama honoring Vietnam troops as something negative.Answer: Doesn't matter! Look at our followers. They'll take anything.\n\n_________________________________________________________________________________________\nObama team: \xa0""Hmmm, how can we make the liberal Messiah look better in light of the revelations of his leaking classified information to the New York Times?I know, lets have a bogus photo shoot at the Viet Nam Memorial. That will make Obama look like he cares about vets (but first we'll have to clear all the vets out of the immediate area because they can't be trusted)."""""
31,0,20120529115214Z,"""A good article, which, for all the good it will do, could have been delivered to a brick wall."""
32,0,,"""Head's up warning...another source of funding for Media Matters is Peter Lewis of the Progessive Insurance Company. You know, those auto insurance commercials that run every 5 minutes on cable television featuring the gal who looks like a blow-up doll with red lips and\\xc2\\xa0a perfectly round mouth...if you know what I mean.\\nIF you have Progressive\\xc2\\xa0auto insurance, just know that part of your premium is going to fund a progressive liberal\\xc2\\xa0organization hell bent\\xc2\\xa0on destroying\\xc2\\xa0our country and our free speech. Their mission is to\\xc2\\xa0bring down\\xc2\\xa0Hannity,Beck,Dobbs,Lavin,Limbaugh,Boortz,etc. We must not let them win."""
33,0,20120620055647Z,"""@sdnoriko LOL as if Capcom listens. Watch them fuck this up too. I hope I am wrong. I love Okami."""
34,1,20120515132156Z,"""Allinit123, your\xa0hypocrisy\xa0is sickening, you ignorant loser."""
35,0,20120620011710Z,"""Fast & furious didn't work out like they planned did it?.............lololololololol"""
36,0,20120530111709Z,"""mitt isn't the best candidate for president.......but, going against the worst\xa0candidate\xa0ever should help him tremendously. \xa0LOL\xa0\n\nobama is one and done......it could happen no other way."""
37,1,20120620161958Z,"""I can't believe the stupid people on this site that have no idea what is going on.\xa0 You fools.\xa0 You are all useful idiots.\xa0 They are hiding the truth because you fools who protect him would look like the useful idiots you are."""
38,1,20120609163743Z,"""fucking behave then you prick!"""
39,0,20120619094846Z,"""The only ""other"" relevant fact is that HE IS DESTROYING AMERICA!"""
40,0,20120609175446Z,"""You are a liar."""
41,1,20120620075045Z,"""Is that it??  your sum total to any conversation is first abuse and then calling them a troll..   You are a typical socialist idiot.  Keep up your non existent class warfare, it is as pointless as you."""
42,0,20120619231647Z,"""@beanstalk @briview Welp then NBW right?"""
43,0,20120620024445Z,"""Good job, fellas. I didn't quite read the rules about a signature piece, but I guess that was as good as any. I found some great blogs to follow, and to share over at G+. If I'm not commenting on your blogs, it's because I always throw my two cents in when I post my share. Add me on there if you are a Googler. \nhttps://plus.google.com/109258118458627782001/posts. Again, congratulations to the winners, and I hope we get the chance to submit something else. This was fucking fun."""
44,0,,"""I say hang is ass in the center of the town to let it be known that this type of behavior gets this type of punishment... The lady had a kid 1 week ago. Women aren't safe to have sex after child birth for AT LEAST 6 weeks. So even if this WAS\\xc2\\xa0consensual, it would have been wayyyyy too soon and hurt the lady. I am so glad the the baby is so young and will not remember this event happening in it's house and I hope the mother recovers quickly."""
45,1,20120619074710Z,"""faggot"""
46,0,20120529201852Z,"""You right if you are relaxe then you can give better result or perform and your identity should be from your work."""
47,1,20120529130844Z,"""Aimless Abe you are a delusion weirdo that should be locked up inside and kept away from computers.\xa0 Anyone who doubts the lunacy of Abe the moronic prog frog from NYC please read this thread and you will see Abe completely come apart from the seams and go off the deep end."""
48,0,20120610150536Z,"""That, I do not doubt...\n\n....as a Blackberry clone.\n\nBut, your original argument was not that Android would have existed, just that Android somehow predates iOS development."""
49,0,20120530023429Z,"""OKC should work out a deal to get a PG who plays more like Parker or CP3.  I think Nash at the point, and move Westbrook to SG that team would be unstoppable.  Imagine the shots Nash would create for Durant.  Then Westbrook would be at his natural position too, the guy doesn't create shots or distribute."""
50,0,20120619183841Z,"""Maher's show goes on and on....\nPalin's\xa0 Alakda show gets canceled.\n\nIsn't the ""free market"" wonderful?"""
51,1,20120320131007Z,"""Even as a troll you are a pathetic failure."""
52,0,20120529231612Z,"""Grazie mille Sabrina! Sei cos\xec dolce.\n\nBaci."""
53,0,20120530064120Z,"""yeah well, it would still be better than letting them sit there for 20-30 years on my dime before sticking a needle in their veins. I say give them ALL a noose. If they choose to kill themselves, so be it."""
54,0,20120612003945Z,"""um\n\xa0\nholy fuck i need a cigarette"""
55,1,20120502173058Z,"""You're a moron, truth is beyond your reach"""
56,0,20120529022638Z,"""You seem wistful."""
57,0,20120529141937Z,"""Damn, speedy recovery, Paul...raining prayers down on you!"""
58,0,20120528151453Z,"""The laughs you two heard were triggered by memories of his own high-flying exits off moving beasts"""
59,1,20120619203151Z,"""Your anti-Semitic rants are not welcomed here. You are a racist moron.\nFU!"""
60,0,20120620175146Z,"""@Nonstopdrivel Was FredEx on this team?"""
61,1,20120619033424Z,"""god, you're tiresome. get a life, you loser."""
62,0,20120612141919Z,"""stop pretending ur not bradley's side. you're the BS..are u blind don't give us that stupid\xa0long\xa0explainations of yours,\xa0you\xa0\xa0sounds like that 2 idiot judges exactly carbon copy !!...arum we need our moneyyyy bacckkkkkkk !!!!!!"""
63,0,20120610012708Z,"""fucking weird game man"""
64,0,20120620031132Z,"""I told you I would give it if you did. You started acting likje a tough guy behind your moms computer then I asked you 20 times for an address and you still won't give it."""
65,0,20120619055834Z,"""I don't know if Lewis is a little boy or little girl. Either way it becomes the third on my list of petulant idiots. You will understand when you grow up. Ask an old bastard member of your family to explain. Such actions cannot be tolerated. How come you blame the line judge? Weird."""
66,0,20120620015832Z,"""thats a pathetic flop fuck you jvg"""
67,0,20120611195156Z,"""Why should they bother improving ios if they sell more phones than they care to produce. These advice are better served to the also-runs... wp first and foremost"""
68,0,,"""spursruss: I live in Argentina and its not all Argentinians. The problem being those who are loud on the issue are ill educated and you can be sure they wouldn't be rushing to fight anyone, they would be cowering in the background. My wife is Argentinean and she is the first one to recognize the stupidity of the claims. Some of muppet think they fought their Independence against the UK, morons the lot of them. The answer is simple, if we were the leading colonial force, you would be an ENGLISH speaking country, you aren't, because werent it was Spain, Portugal, France, our interests were commercial. Also the worst part is they themselves exterminated the natives, the Spanish started it but actually it was the newly formed Argies which did most of the killing of the native, lovely eh? Clueless stuff, you wonder why the Government gets away with corruption, so many ignorant people thats why...you shouldnt judge ALL by the standard, these a huge amount of Argies who see the Cristina drum beating for what it is, the same as ALL presidents of Argentina do, using it to cover their failing."""
69,0,20120527153941Z,"""you better hope because the Marlins have a history of giving up their superstars"""
70,0,,"""Well, you guys have gone and done it now. You put the words 'China' and 'Chinese' up the required number of times for the dating Asians ad to come up. Evidently, Ms. Zhang, 50Kg and 168cm [for a BMI of 17.8] from 'HuNan China' wants to meet me. She has her little mouth open like she's speaking. What's that you ask, Zhang? Well, yes, as a matter of fact I am a physician.  Why are you clapping your hands together and jumping up and down?  Stop that squealing, young lady and 'exprain' yourself!"""
71,0,20120620154731Z,"""you mean like your off topic Obama rant bellow?"""
72,0,20120529035809Z,"""I hope they do it inconjunction with July 4...."""
73,0,,"""Surely will be a crushing blow, when he doesn't get the next four years, would you consider leaving the country????????????????"""
74,0,20120611225404Z,"""I haven't watched Fox News in years, true."""
75,0,20120528200101Z,"""Are you in France?"""
76,0,20120620001100Z,"""I'll take that temp...I really hate the heat"""
77,0,20120620070034Z,"""Alexis Bledel can act. Wait. Can she? I have this blind spot when it comes to impossibly beautiful women. Shit, maybe she can't act. Fuck, what the hell do I do now?\n\nWHAT THE HELL DO I DO NOW!?"""
78,0,20120612035513Z,"""I like your comments.\nHowever I would go one step further.  It's not time to ""let"" the people of IL fight back.\nRather the citizens of IL just need to fight back period.  \nI will carry next time I travel into ""little Beirut"".  i.e. Chicago"""
79,1,20120619194023Z,"""Fact : Georgia passed a strict immigration policy and most of the Latino farm workers left the area. Vidalia Georgia now has over 3000 agriculture job openings and they have been able to fill about 250 of them in past year. All you White Real Americans who are looking for work that the Latinos stole from you..Where are you ? The jobs are i Vadalia just waiting for you..Or maybe its the fact that you would rather collect unemployment like the rest of the Tea Klaners.. You scream..you complain..and you sit at home in your wife beaters and drink beer..Typical Real White Tea Klan...."""
80,1,20120530000452Z,"""Of course you would bottom feeder ..."""
81,0,20120619201802Z,"""M\xe1tenlos!!\nhttp://1.bp.blogspot.com/-YVSZmVv2iRw/Tmo8KFaUGMI/AAAAAAAAA0k/NlLAahKNnis/s1600/kill_it_with_fire_KILL_IT_KILL_IT_WITH_FIRE-s670x394-132457.jpg"""
82,1,20120619162450Z,"""You are\xa0 a fukin moron. \xa0\xa0 You are just butthurt that you got rejected on WIkipedia.\n\nCall yoursilf scolar or whatever.\xa0 I am better than you,\xa0 just 14 and already a Wikipedia administrator.\xa0 You are just a stupid ashole."""
83,0,20120528135045Z,"""He is doing what any president doe's on this day.\nI do not recall if other presidents appeared at the Wall.\n\nelection year.... yea, but then again you would never say anything\nif he did not appear. You can not have it both ways."""
84,0,20120619193808Z,"""...yeah, and you're a f'ing expert.....go back to picking through trash barrels you tool"""
85,0,20120618201005Z,"""Those trails will definitely get plowed regardless of the investigation. They'll just see it as easier to plow the area than deal with it. And once they got plowed I would never return or risk getting stopped and heavily questioned by the PO-PO's. \n\nP.S. - All the stupid comments are unnecessary. It's really easy to be cold and heartless and act like you don't give a fuck. But I'd like to see these anonymous commentators talk shit like that in front of this person's family or even their own Mother's. Grow up children and learn some respect."""
86,0,20120529200220Z,"""Suh had a sack the last time they played."""
87,0,20120612001540Z,"""and you are support argument a-hole....\n\nNot everyone games on their pc's either. \xa0Spec whores miss the point entirely.......\n\nI prefer the mac to my daily work. \xa0That beings said, I'm also a big believer in the best tool for the job and there are certain things that PC's do better, (Database and servers for instance)\n\nThe thing is that you havent proved anything other than an anti apple bias and name calling (guilty myself to get your attention) id just juvenile"""
88,1,20120619171832Z,"""You are a fucking dumb ass!.  Go back to you Xbox dickhead.  Grow up you little fanboy."""
89,0,20120515062952Z,"""you know what would be fun? If you guys talked crap back to us. more entertaining"""
90,0,,"""@beeline @SidneyCatsby ...I'm assuming you are in school in the states."""
91,0,,"""They should put all the gay and lesbians on an island\\xe2\\x80\\xa6\\xc2\\xa0 Oh wait there is Manhattan. """
92,0,20120610020958Z,"""YOLO. This is hilarious. Canyon students are so racist! Even though most of us are Mexican! Fuck gabby!"""
93,1,20120502203704Z,"""Lets see your papers arealconservati.\n\nTill then shut the fuuk up sticky-chin."""
94,0,,"""An interesting angle of organized religion is that religious persecution is never ok unless your defending your own religion.\\xc2\\xa0 You all aren't victims of religious oppression.\\xc2\\xa0 You are the oppressors.\\xc2\\xa0 BTW, i'm not gay.\\xc2\\xa0 I just love how you people try to defend your persecution of others while claiming your are being persecuted."""
95,1,,"""Correction Bitch! You don't think it's superb because your hating ass doesn't know talent..And Again I am still waiting on you to submit a video of you singing..Where is the youtube link? I am sure you will get all kinds of rave reviews lol"""
96,1,20120611215519Z,"""I think the only trickle that effected you was the trickle of sperm your dad gave your mom and most of that trickled down her leg.   Go back to sleep, we will wake you when you are needed again."""
97,1,20120515142854Z,"""And you keep on your knees and keep telling yourself that is a sausage in your mouth.\xa0 And that is cream cheese you are swallowing."""
98,0,20120620125953Z,"""What was that, like 2000 words about nothing? You're going after Andrea Mitchell? What, was Fox infomercial not broadcasting yesterday? How about the apologies issued for the ""EPA drones""? And yet here you are attacking Andrea Mitchell about some stupid gas station gimmick.\n\nHere's another newsflash for you, Mr. Romney (R1%) is out of touch. We all already know it. Mr. Romney's amazement wasn't just about some gadget at a ""petrol filling post"" but that people could actually buy food products there and that they actually eat it.\n\nThis very second Mr. Romney isn't even carrying a wallet. And it is very likely that he doesn't even know where it is. I'm still waiting for someone to ask him the tough campaign trail question of ""how much does a gallon of milk cost?"".\n\nAndrea Mitchell and gas station food... unbelievable."""
99,0,20120619032603Z,"""@Rourke needs to give me a fucking like\xa0\xa0@jwoude23\xa0hows everyone doin?"""
